Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A,G-PK.1,G+A-PK
Gianluigi Buffon,it ITA,GK,35,47,47,4126,45.8,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0
Paul Pogba,fr FRA,MF,20,50,45,4123,45.8,8,10,8,0,1,5,0,0.17,0.22,0.39,0.17,0.39
Giorgio Chiellini,it ITA,DF,28,42,42,3721,41.3,3,3,3,0,0,5,1,0.07,0.07,0.15,0.07,0.15
Kwadwo Asamoah,gh GHA,DFMF,24,45,42,3681,40.9,2,3,2,0,0,7,0,0.05,0.07,0.12,0.05,0.12
Leonardo Bonucci,it ITA,DF,26,42,40,3619,40.2,3,3,3,0,0,9,0,0.07,0.07,0.15,0.07,0.15
Carlos Tevez,ar ARG,FWMF,29,46,42,3594,39.9,20,7,19,1,3,6,0,0.5,0.18,0.68,0.48,0.65
Andrea Pirlo,it ITA,MF,34,43,41,3527,39.2,6,7,6,0,0,5,0,0.15,0.18,0.33,0.15,0.33
Arturo Vidal,cl CHI,MF,26,44,39,3415,37.9,18,5,12,6,6,11,0,0.47,0.13,0.61,0.32,0.45
Fernando Llorente,es ESP,FW,28,44,35,3072,34.1,18,5,18,0,0,3,0,0.53,0.15,0.67,0.53,0.67
Claudio Marchisio,it ITA,MF,27,40,30,2798,31.1,4,1,4,0,0,7,0,0.13,0.03,0.16,0.13,0.16
Andrea Barzagli,it ITA,DF,32,31,30,2678,29.8,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0
Stephan Lichtsteiner,ch SUI,DFMF,29,34,29,2540,28.2,2,8,2,0,0,5,0,0.07,0.28,0.35,0.07,0.35
Martín Cáceres,uy URU,DF,26,28,25,2276,25.3,0,1,0,0,0,2,0,0.0,0.04,0.04,0.0,0.04
Angelo Ogbonna,it ITA,DF,25,22,19,1697,18.9,0,0,0,0,0,4,1,0.0,0.0,0.0,0.0,0.0
Mauricio Isla,cl CHI,DFMF,25,26,16,1496,16.6,0,2,0,0,0,1,0,0.0,0.12,0.12,0.0,0.12
Simone Padoin,it ITA,DFMF,29,24,9,869,9.7,1,0,1,0,0,1,0,0.1,0.0,0.1,0.1,0.1
Sebastian Giovinco,it ITA,FWMF,26,28,8,860,9.6,2,1,2,0,0,2,0,0.21,0.1,0.31,0.21,0.31
Dani Osvaldo,it ITA,FW,27,18,8,688,7.6,3,1,3,0,0,1,0,0.39,0.13,0.52,0.39,0.52
Mirko Vučinić,me MNE,FW,29,17,7,598,6.6,2,0,1,1,1,3,1,0.3,0.0,0.3,0.15,0.15
Federico Peluso,it ITA,DF,29,12,7,597,6.6,1,2,1,0,0,3,0,0.15,0.3,0.45,0.15,0.45
Fabio Quagliarella,it ITA,FW,30,21,4,557,6.2,3,0,3,0,0,1,0,0.48,0.0,0.48,0.48,0.48
Marco Storari,it ITA,GK,36,6,5,515,5.7,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Paolo De Ceglie,it ITA,DF,26,5,2,236,2.6,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Rubinho,br BRA,GK,30,1,0,38,0.4,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Marco Motta,it ITA,DF,27,2,0,25,0.3,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
Simone Pepe,it ITA,FWMF,29,2,0,18,0.2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
