Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A,G-PK.1,G+A-PK,xG,npxG,xA,npxG+xA,xG.1,xA.1,xG+xA,npxG.1,npxG+xA.1
Wojciech Szczęsny,pl POL,GK,28,41,41,3690.0,41.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cristiano Ronaldo,pt POR,FW,33,43,41,3645.0,40.5,28.0,10.0,22.0,6.0,7.0,4.0,1.0,0.69,0.25,0.94,0.54,0.79,27.3,22.0,6.0,27.9,0.72,0.16,0.87,0.58,0.73
Leonardo Bonucci,it ITA,DF,31,41,39,3552.0,39.5,3.0,2.0,3.0,0.0,0.0,2.0,0.0,0.08,0.05,0.13,0.08,0.13,1.9,1.9,1.7,3.6,0.05,0.05,0.1,0.05,0.1
Alex Sandro,br BRA,DF,27,43,38,3321.0,36.9,1.0,2.0,1.0,0.0,0.0,11.0,0.0,0.03,0.05,0.08,0.03,0.08,2.1,2.1,3.9,6.0,0.06,0.11,0.17,0.06,0.17
Blaise Matuidi,fr FRA,MF,31,42,39,3280.0,36.4,3.0,3.0,3.0,0.0,0.0,8.0,0.0,0.08,0.08,0.16,0.08,0.16,2.1,2.1,1.6,3.8,0.06,0.05,0.11,0.06,0.11
Miralem Pjanić,ba BIH,MF,28,44,39,3263.0,36.3,4.0,8.0,2.0,2.0,2.0,9.0,1.0,0.11,0.22,0.33,0.06,0.28,3.5,2.0,7.5,9.5,0.1,0.22,0.32,0.06,0.28
Paulo Dybala,ar ARG,FWMF,24,42,32,2819.0,31.3,10.0,4.0,9.0,1.0,1.0,4.0,0.0,0.32,0.13,0.45,0.29,0.42,9.2,8.5,3.7,12.2,0.31,0.13,0.44,0.29,0.41
Giorgio Chiellini,it ITA,DF,33,34,31,2737.0,30.4,1.0,1.0,1.0,0.0,0.0,4.0,0.0,0.03,0.03,0.07,0.03,0.07,1.7,1.7,0.4,2.1,0.06,0.02,0.08,0.06,0.08
Rodrigo Bentancur,uy URU,MF,21,40,29,2729.0,30.3,2.0,3.0,2.0,0.0,0.0,9.0,1.0,0.07,0.1,0.16,0.07,0.16,1.6,1.6,1.6,3.2,0.06,0.05,0.11,0.06,0.11
João Cancelo,pt POR,DF,24,34,28,2602.0,28.9,1.0,5.0,1.0,0.0,0.0,6.0,0.0,0.03,0.17,0.21,0.03,0.21,1.7,1.7,4.1,5.8,0.06,0.15,0.21,0.06,0.21
