Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A,G-PK.1,G+A-PK,xG,npxG,xA,npxG+xA,xG.1,xA.1,xG+xA,npxG.1,npxG+xA.1
Mario Mandžukić,hr CRO,FW,32,33,30,2590.0,28.8,10.0,6.0,10.0,0.0,0.0,4.0,0.0,0.35,0.21,0.56,0.35,0.56,6.9,6.9,2.9,9.8,0.24,0.1,0.34,0.24,0.34
Emre Can,de GER,MF,24,37,23,2265.0,25.2,4.0,1.0,3.0,1.0,1.0,9.0,0.0,0.16,0.04,0.2,0.12,0.16,3.3,2.5,2.8,5.3,0.14,0.12,0.25,0.1,0.22
Mattia De Sciglio,it ITA,DF,25,28,25,2229.0,24.8,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.04,0.04,0.0,0.04,0.2,0.2,0.9,1.1,0.01,0.04,0.05,0.01,0.05
Federico Bernardeschi,it ITA,FWMF,24,39,22,2210.0,24.6,3.0,4.0,3.0,0.0,0.0,8.0,1.0,0.12,0.16,0.29,0.12,0.29,4.6,4.6,5.5,10.1,0.2,0.24,0.45,0.2,0.45
Daniele Rugani,it ITA,DF,24,20,19,1712.0,19.0,2.0,0.0,2.0,0.0,0.0,4.0,0.0,0.11,0.0,0.11,0.11,0.11,1.3,1.3,0.0,1.3,0.07,0.0,0.07,0.07,0.07
Juan Cuadrado,co COL,MFDF,30,23,18,1546.0,17.2,1.0,4.0,1.0,0.0,0.0,5.0,0.0,0.06,0.23,0.29,0.06,0.29,1.4,1.4,3.6,5.0,0.08,0.21,0.29,0.08,0.29
Douglas Costa,br BRA,FWMF,27,25,10,975.0,10.8,1.0,0.0,1.0,0.0,0.0,2.0,1.0,0.09,0.0,0.09,0.09,0.09,1.2,1.2,1.9,3.1,0.14,0.22,0.36,0.14,0.36
Sami Khedira,de GER,MF,31,17,12,972.0,10.8,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.19,0.09,0.28,0.19,0.28,2.8,2.8,0.1,2.9,0.31,0.02,0.32,0.31,0.32
Mattia Perin,it ITA,GK,25,9,9,810.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Leonardo Spinazzola,it ITA,DF,25,12,8,746.0,8.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.12,0.0,0.12,0.3,0.3,0.5,0.8,0.04,0.07,0.11,0.04,0.11
Moise Kean,it ITA,FWMF,18,17,6,671.0,7.5,7.0,0.0,7.0,0.0,0.0,2.0,0.0,0.94,0.0,0.94,0.94,0.94,4.2,4.2,0.2,4.4,0.61,0.03,0.64,0.61,0.64
Martín Cáceres,uy URU,DF,31,9,7,628.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,0.05,0.0,0.05,0.05,0.05
Medhi Benatia,ma MAR,DF,31,6,6,540.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.02,0.0,0.02,0.02,0.02
Andrea Barzagli,it ITA,DF,37,10,5,368.0,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Matheus Pereira da Silva,br BRA,MF,20,3,1,92.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.09,0.04,0.13,0.09,0.13
Paolo Gozzi Iweru,it ITA,DF,17,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carlo Pinsoglio,it ITA,GK,28,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grigoris Kastanos,cy CYP,MF,20,1,1,60.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hans Nicolussi Caviglia,it ITA,MFFW,18,3,0,57.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03
Manolo Portanova,it ITA,MF,18,1,0,33.0,0.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stephy Mavididi,eng ENG,FW,20,1,0,22.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mattia Del Favero,it ITA,GK,20,0,0,,,,,,,,,,,,,,,,,,,,,,,
Simone Muratore,it ITA,MF,20,0,0,,,,,,,,,,,,,,,,,,,,,,,
Pablo Moreno,es ESP,FW,16,0,0,,,,,,,,,,,,,,,,,,,,,,,
Nicolò Fagioli,it ITA,MF,17,0,0,,,,,,,,,,,,,,,,,,,,,,,
Luca Coccolo,it ITA,DF,20,0,0,,,,,,,,,,,,,,,,,,,,,,,
