Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A,G-PK.1,G+A-PK,xG,npxG,xA,npxG+xA,xG.1,xA.1,xG+xA,npxG.1,npxG+xA.1
Leonardo Bonucci,it ITA,DF,32,47,47,4192.0,46.6,4.0,0.0,4.0,0.0,0.0,12.0,0.0,0.09,0.0,0.09,0.09,0.09,3.4,3.4,0.9,4.2,0.08,0.02,0.1,0.08,0.1
Cristiano Ronaldo,pt POR,FW,34,46,46,4108.0,45.6,37.0,6.0,23.0,14.0,16.0,3.0,0.0,0.81,0.13,0.94,0.5,0.64,31.4,20.8,5.5,26.3,0.78,0.14,0.92,0.52,0.65
Alex Sandro,br BRA,DF,28,41,39,3495.0,38.8,1.0,5.0,1.0,0.0,0.0,4.0,0.0,0.03,0.13,0.15,0.03,0.15,0.9,0.9,3.4,4.3,0.03,0.1,0.13,0.03,0.13
Juan Cuadrado,co COL,DFFW,31,45,36,3444.0,38.3,3.0,6.0,3.0,0.0,0.0,11.0,1.0,0.08,0.16,0.24,0.08,0.24,1.5,1.5,5.3,6.9,0.04,0.15,0.2,0.04,0.2
Matthijs de Ligt,nl NED,DF,19,39,36,3380.0,37.6,4.0,0.0,4.0,0.0,0.0,5.0,0.0,0.11,0.0,0.11,0.11,0.11,2.7,2.7,0.6,3.3,0.08,0.02,0.1,0.08,0.1
Miralem Pjanić,ba BIH,MF,29,43,41,3337.0,37.1,3.0,6.0,3.0,0.0,0.0,11.0,0.0,0.08,0.16,0.24,0.08,0.24,1.3,1.3,4.0,5.4,0.04,0.12,0.17,0.04,0.17
Wojciech Szczęsny,pl POL,GK,29,37,37,3311.0,36.8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rodrigo Bentancur,uy URU,MF,22,43,34,3124.0,34.7,1.0,7.0,1.0,0.0,0.0,13.0,1.0,0.03,0.2,0.23,0.03,0.23,0.8,0.8,4.0,4.8,0.03,0.14,0.16,0.03,0.16
Paulo Dybala,ar ARG,FWMF,25,46,33,2930.0,32.6,17.0,10.0,15.0,2.0,2.0,6.0,0.0,0.52,0.31,0.83,0.46,0.77,10.1,9.3,8.1,17.4,0.37,0.3,0.66,0.34,0.64
Blaise Matuidi,fr FRA,MF,32,45,31,2919.0,32.4,1.0,2.0,1.0,0.0,0.0,6.0,0.0,0.03,0.06,0.09,0.03,0.09,1.7,1.7,1.4,3.0,0.06,0.05,0.11,0.06,0.11
Gonzalo Higuaín,ar ARG,FW,31,44,28,2643.0,29.4,11.0,8.0,11.0,0.0,0.0,3.0,0.0,0.37,0.27,0.65,0.37,0.65,11.1,11.1,5.2,16.4,0.42,0.2,0.62,0.42,0.62
Adrien Rabiot,fr FRA,MF,24,37,27,2472.0,27.5,1.0,1.0,1.0,0.0,0.0,7.0,1.0,0.04,0.04,0.07,0.04,0.07,1.0,1.0,1.3,2.3,0.04,0.05,0.09,0.04,0.09
Danilo,br BRA,DF,28,32,24,2181.0,24.2,2.0,0.0,2.0,0.0,0.0,4.0,1.0,0.08,0.0,0.08,0.08,0.08,0.8,0.8,0.7,1.5,0.04,0.03,0.07,0.04,0.07
Federico Bernardeschi,it ITA,MF,25,38,23,1999.0,22.2,2.0,2.0,2.0,0.0,0.0,6.0,0.0,0.09,0.09,0.18,0.09,0.18,5.4,5.4,3.6,9.0,0.26,0.18,0.44,0.26,0.44
Aaron Ramsey,wls WAL,MF,28,35,14,1420.0,15.8,4.0,1.0,4.0,0.0,0.0,3.0,0.0,0.25,0.06,0.32,0.25,0.32,3.7,3.7,1.8,5.4,0.26,0.13,0.39,0.26,0.39
Gianluigi Buffon,it ITA,GK,41,15,15,1380.0,15.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.02,0.02,0.0,0.02
Douglas Costa,br BRA,MF,28,29,11,1093.0,12.1,3.0,5.0,2.0,1.0,1.0,2.0,0.0,0.25,0.41,0.66,0.16,0.58,1.5,1.5,3.3,4.8,0.17,0.36,0.53,0.17,0.53
Daniele Rugani,it ITA,DF,25,14,11,1050.0,11.7,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,0.03,0.0,0.03,0.03,0.03
Sami Khedira,de GER,MF,32,18,13,972.0,10.8,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.09,0.09,0.0,0.09,1.1,1.1,0.9,2.0,0.11,0.08,0.19,0.11,0.19
Mattia De Sciglio,it ITA,DF,26,13,10,773.0,8.6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.01,0.01,0.0,0.01
Merih Demiral,tr TUR,DF,21,8,7,598.0,6.6,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.15,0.15,0.3,0.15,0.3,0.4,0.4,0.3,0.7,0.07,0.05,0.12,0.07,0.12
Emre Can,de GER,MF,25,8,2,284.0,3.2,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,1.3,0.6,1.9,0.41,0.18,0.59,0.41,0.59
Giorgio Chiellini,it ITA,DF,34,4,3,202.0,2.2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.45,0.0,0.45,0.45,0.45,0.2,0.2,0.0,0.2,0.1,0.0,0.1,0.1,0.1
Simone Muratore,it ITA,MF,21,5,2,166.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.2,0.04,0.09,0.13,0.04,0.13
Luca Zanimacchia,it ITA,FW,21,2,1,120.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.02,0.06,0.08,0.02,0.08
Gianluca Frabotta,it ITA,DF,20,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04
Marco Olivieri,it ITA,MF,20,4,0,37.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.15,0.0,0.15,0.15,0.15
Carlo Pinsoglio,it ITA,GK,29,1,0,19.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marko Pjaca,hr CRO,FWMF,24,1,0,16.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
Daouda Peeters,be BEL,MF,20,1,0,15.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Giacomo Vrioni,al ALB,FW,20,1,0,12.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mattia Perin,it ITA,GK,26,0,0,,,,,,,,,,,,,,,,,,,,,,,
Manolo Portanova,it ITA,MF,19,0,0,,,,,,,,,,,,,,,,,,,,,,,
Wesley,br BRA,DF,19,0,0,,,,,,,,,,,,,,,,,,,,,,,
Han Kwang-song,kp PRK,FW,20,0,0,,,,,,,,,,,,,,,,,,,,,,,
Mario Mandžukić,hr CRO,FWMF,33,0,0,,,,,,,,,,,,,,,,,,,,,,,
Luca Coccolo,it ITA,DF,21,0,0,,,,,,,,,,,,,,,,,,,,,,,
Pietro Beruatto,it ITA,DF,20,0,0,,,,,,,,,,,,,,,,,,,,,,,
