Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A,G-PK.1,G+A-PK
Leonardo Bonucci,it ITA,DF,27,51,50,4575.0,50.8,4.0,0.0,4.0,0.0,0.0,11.0,0.0,0.08,0.0,0.08,0.08,0.08
Claudio Marchisio,it ITA,MF,28,51,48,4217.0,46.9,3.0,8.0,2.0,1.0,1.0,12.0,0.0,0.06,0.17,0.23,0.04,0.21
Gianluigi Buffon,it ITA,GK,36,46,46,4140.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stephan Lichtsteiner,ch SUI,DFMF,30,49,43,3994.0,44.4,3.0,5.0,3.0,0.0,0.0,12.0,1.0,0.07,0.11,0.18,0.07,0.18
Carlos Tevez,ar ARG,FWMF,30,47,43,3910.0,43.4,27.0,10.0,24.0,3.0,5.0,11.0,0.0,0.62,0.23,0.85,0.55,0.78
Giorgio Chiellini,it ITA,DF,29,44,42,3880.0,43.1,1.0,1.0,1.0,0.0,0.0,11.0,0.0,0.02,0.02,0.05,0.02,0.05
Arturo Vidal,cl CHI,MF,27,44,39,3497.0,38.9,8.0,4.0,5.0,3.0,5.0,12.0,0.0,0.21,0.1,0.31,0.13,0.23
Paul Pogba,fr FRA,MF,21,40,37,3218.0,35.8,10.0,6.0,10.0,0.0,0.0,8.0,0.0,0.28,0.17,0.45,0.28,0.45
Patrice Evra,fr FRA,DF,33,33,33,2901.0,32.2,1.0,4.0,1.0,0.0,0.0,5.0,0.0,0.03,0.12,0.16,0.03,0.16
Roberto Pereyra,ar ARG,FWMF,23,51,32,2886.0,32.1,6.0,4.0,6.0,0.0,0.0,4.0,0.0,0.19,0.12,0.31,0.19,0.31
Andrea Pirlo,it ITA,MF,35,32,31,2601.0,28.9,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.17,0.17,0.35,0.17,0.35
Fernando Llorente,es ESP,FW,29,44,32,2594.0,28.8,9.0,1.0,9.0,0.0,0.0,0.0,0.0,0.31,0.03,0.35,0.31,0.35
Álvaro Morata,es ESP,FW,21,45,22,2299.0,25.5,15.0,6.0,14.0,1.0,1.0,8.0,2.0,0.59,0.23,0.82,0.55,0.78
Angelo Ogbonna,it ITA,DF,26,30,22,2063.0,22.9,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
Simone Padoin,it ITA,DFMF,30,33,18,1741.0,19.3,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0
Andrea Barzagli,it ITA,DF,33,17,12,1186.0,13.2,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Martín Cáceres,uy URU,DF,27,14,13,1046.0,11.6,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.09,0.0,0.09,0.09,0.09
Marco Storari,it ITA,GK,37,10,10,930.0,10.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kwadwo Asamoah,gh GHA,DFMF,25,10,10,883.0,9.8,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.1,0.1,0.0,0.1
Stefano Sturaro,it ITA,MF,21,15,10,868.0,9.6,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.1,0.0,0.1,0.1,0.1
Kingsley Coman,fr FRA,FWMF,18,20,7,649.0,7.2,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.14,0.28,0.42,0.14,0.42
Simone Pepe,it ITA,FWMF,30,16,4,494.0,5.5,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.18,0.18,0.36,0.0,0.18
Alessandro Matri,it ITA,FW,29,9,5,451.0,5.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.4,0.0,0.4,0.4,0.4
Rômulo,it ITA,DFMF,27,5,3,280.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sebastian Giovinco,it ITA,FWMF,27,11,3,260.0,2.9,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.69,0.0,0.69,0.69,0.69
Paolo De Ceglie,it ITA,DF,27,2,1,104.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Federico Mattiello,it ITA,DFMF,19,3,0,37.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mattia Vitale,it ITA,MF,16,2,0,27.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Luca Marrone,it ITA,DFMF,24,0,0,,,,,,,,,,,,,,
Rubinho,br BRA,GK,31,0,0,,,,,,,,,,,,,,
Filippo Romagna,it ITA,DF,17,0,0,,,,,,,,,,,,,,
Mattia Del Favero,it ITA,GK,16,0,0,,,,,,,,,,,,,,
Giacomo Volpe,it ITA,GK,18,0,0,,,,,,,,,,,,,,
Emil Audero,it ITA,GK,17,0,0,,,,,,,,,,,,,,
