Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A,G-PK.1,G+A-PK,xG,npxG,xA,npxG+xA,xG.1,xA.1,xG+xA,npxG.1,npxG+xA.1
Gonzalo Higuaín,ar ARG,FW,29,50,43,3876.0,43.1,23.0,6.0,21.0,2.0,4.0,5.0,0.0,0.53,0.14,0.67,0.49,0.63,12.9,11.4,3.6,15.0,0.41,0.12,0.53,0.36,0.48
Miralem Pjanić,ba BIH,MF,27,44,40,3563.0,39.6,7.0,7.0,6.0,1.0,1.0,11.0,0.0,0.18,0.18,0.35,0.15,0.33,2.8,2.8,5.2,8.0,0.1,0.19,0.29,0.1,0.29
Paulo Dybala,ar ARG,MFFW,23,46,38,3374.0,37.5,26.0,4.0,22.0,4.0,6.0,0.0,2.0,0.69,0.11,0.8,0.59,0.69,12.5,8.8,4.6,13.4,0.48,0.18,0.65,0.34,0.51
Alex Sandro,br BRA,DF,26,39,36,3281.0,36.5,4.0,4.0,4.0,0.0,0.0,12.0,0.0,0.11,0.11,0.22,0.11,0.22,2.6,2.6,2.5,5.1,0.11,0.11,0.22,0.11,0.22
Blaise Matuidi,fr FRA,MF,30,46,36,3213.0,35.7,4.0,1.0,4.0,0.0,0.0,4.0,0.0,0.11,0.03,0.14,0.11,0.14,2.6,2.6,0.9,3.5,0.1,0.04,0.13,0.1,0.13
Mario Mandžukić,hr CRO,FW,31,43,37,3199.0,35.5,10.0,1.0,10.0,0.0,0.0,8.0,2.0,0.28,0.03,0.31,0.28,0.31,5.8,5.8,3.4,9.2,0.22,0.13,0.36,0.22,0.36
Giorgio Chiellini,it ITA,DF,32,38,36,3169.0,35.2,0.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.03,0.03,0.0,0.03,1.2,1.2,0.6,1.7,0.05,0.02,0.07,0.05,0.07
Gianluigi Buffon,it ITA,GK,39,34,34,3032.0,33.7,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Douglas Costa,br BRA,FWMF,26,47,31,2914.0,32.4,6.0,7.0,6.0,0.0,0.0,3.0,0.0,0.19,0.22,0.4,0.19,0.4,2.7,2.7,7.6,10.3,0.14,0.38,0.52,0.14,0.52
Sami Khedira,de GER,MF,30,39,35,2869.0,31.9,9.0,5.0,9.0,0.0,0.0,1.0,0.0,0.28,0.16,0.44,0.28,0.44,4.1,4.1,0.8,4.9,0.19,0.04,0.23,0.19,0.23
Medhi Benatia,ma MAR,DF,30,32,30,2637.0,29.3,4.0,0.0,4.0,0.0,0.0,12.0,0.0,0.14,0.0,0.14,0.14,0.14,2.5,2.5,0.0,2.5,0.13,0.0,0.13,0.13,0.13
Andrea Barzagli,it ITA,DF,36,38,24,2386.0,26.5,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.04,0.04,0.0,0.04,0.0,0.0,0.4,0.4,0.0,0.02,0.03,0.0,0.03
Daniele Rugani,it ITA,DF,23,26,25,2225.0,24.7,2.0,1.0,2.0,0.0,0.0,4.0,0.0,0.08,0.04,0.12,0.08,0.12,1.6,1.6,0.4,2.0,0.08,0.02,0.09,0.08,0.09
Kwadwo Asamoah,gh GHA,DF,28,26,23,2027.0,22.5,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,1.1,1.3,0.01,0.06,0.08,0.01,0.08
Stephan Lichtsteiner,ch SUI,DF,33,32,23,2013.0,22.4,0.0,3.0,0.0,0.0,1.0,8.0,0.0,0.0,0.13,0.13,0.0,0.13,0.8,0.1,0.5,0.6,0.04,0.03,0.07,0.0,0.03
Juan Cuadrado,co COL,FWMF,29,29,22,1909.0,21.2,5.0,6.0,5.0,0.0,0.0,6.0,0.0,0.24,0.28,0.52,0.24,0.52,3.9,3.9,2.7,6.6,0.26,0.18,0.44,0.26,0.44
Wojciech Szczęsny,pl POL,GK,27,21,20,1800.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.01,0.01,0.0,0.01
Mattia De Sciglio,it ITA,DF,24,20,17,1486.0,16.5,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.06,0.0,0.06,0.06,0.06,0.1,0.1,0.3,0.4,0.01,0.02,0.03,0.01,0.03
Federico Bernardeschi,it ITA,FWMF,23,31,9,1133.0,12.6,5.0,3.0,5.0,0.0,0.0,4.0,0.0,0.4,0.24,0.64,0.4,0.64,3.0,3.0,2.0,5.1,0.33,0.22,0.55,0.33,0.55
Claudio Marchisio,it ITA,MF,31,20,12,1056.0,11.7,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.17,0.17,0.0,0.17,0.3,0.3,0.8,1.0,0.03,0.08,0.11,0.03,0.11
Stefano Sturaro,it ITA,MFDF,24,19,11,983.0,10.9,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.3,0.4,0.03,0.04,0.07,0.03,0.07
Rodrigo Bentancur,uy URU,MF,20,27,9,963.0,10.7,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.5,0.7,0.03,0.07,0.1,0.03,0.1
Benedikt Höwedes,de GER,DF,29,3,3,247.0,2.7,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.36,0.0,0.36,0.36,0.36,0.7,0.7,0.1,0.8,0.26,0.03,0.3,0.26,0.3
Carlo Pinsoglio,it ITA,GK,27,1,0,28.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fabrizio Caligara,it ITA,MF,17,1,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
Leonardo Loria,it ITA,GK,18,0,0,,,,,,,,,,,,,,,,,,,,,,,
Simone Muratore,it ITA,MF,19,0,0,,,,,,,,,,,,,,,,,,,,,,,
Leonardo Maria Merio,it ITA,MF,18,0,0,,,,,,,,,,,,,,,,,,,,,,,
Mattia Del Favero,it ITA,GK,19,0,0,,,,,,,,,,,,,,,,,,,,,,,
Marko Pjaca,hr CRO,FWMF,22,0,0,,,,,,,,,,,,,,,,,,,,,,,
