,Minute,Player,Squad,Outcome,Distance,Body Part,Notes
0,3,Paulo Dybala,Juventus,Goal,9.0,Left Foot,
1,9,Ignacio Pussetto,Udinese,Saved,17.0,Right Foot,
2,15,Nahuel Molina,Udinese,Blocked,27.0,Left Foot,
3,19,Ignacio Pussetto,Udinese,Off Target,7.0,Head,
4,23,Juan Cuadrado,Juventus,Goal,8.0,Right Foot,
5,31,Álvaro Morata,Juventus,Off Target,16.0,Right Foot,
6,45+3,Álvaro Morata,Juventus,Off Target,11.0,Right Foot,
8,50,Tolgay Arslan,Udinese,Saved,17.0,Right Foot,
9,51,Roberto Pereyra (pen),Udinese,Goal,12.0,Right Foot,
10,54,Álvaro Morata,Juventus,Woodwork,5.0,Head,
11,56,Rodrigo Becão,Udinese,Off Target,34.0,Right Foot,
12,63,Cristiano Ronaldo,Juventus,Off Target,9.0,Head,
13,66,Rodrigo Bentancur,Juventus,Woodwork,24.0,Right Foot,
14,68,Rodrigo Bentancur,Juventus,Off Target,26.0,Left Foot,Half volley
15,71,Gerard Deulofeu,Udinese,Saved,23.0,Right Foot,
16,75,Jens Stryger Larsen,Udinese,Off Target,10.0,Head,
17,83,Gerard Deulofeu,Udinese,Goal,11.0,Right Foot,Half volley
18,89,Samir Santos,Udinese,Saved,3.0,Head,Open goal
19,90,Stefano Okaka,Udinese,Blocked,14.0,Right Foot,
20,90,Mato Jajalo,Udinese,Off Target,11.0,Left Foot,Half volley
21,90+2,Paulo Dybala,Juventus,Saved,25.0,Left Foot,
22,90+2,Paulo Dybala,Juventus,Off Target,16.0,Left Foot,Half volley
