,Minute,Player,Squad,Outcome,Distance,Body Part,Notes
0,3,Moise Kean,Juventus,Off Target,11.0,Right Foot,
1,5,Weston McKennie,Juventus,Off Target,11.0,Right Foot,Half volley
2,8,Weston McKennie,Juventus,Off Target,20.0,Right Foot,
3,9,Rolando Mandragora,Torino,Off Target,30.0,Left Foot,
4,10,Wilfried Singo,Torino,Off Target,22.0,Left Foot,
5,22,Saša Lukić,Torino,Off Target,5.0,Head,
6,26,Saša Lukić,Torino,Off Target,7.0,Head,
7,35,Tommaso Pobega,Torino,Saved,34.0,Left Foot,
8,36,Josip Brekalo,Torino,Off Target,24.0,Right Foot,
9,38,Rolando Mandragora,Torino,Saved,30.0,Left Foot,
10,41,Antonio Sanabria,Torino,Off Target,6.0,Head,
11,43,Wilfried Singo,Torino,Blocked,21.0,Right Foot,
12,43,Manuel Locatelli,Juventus,Blocked,14.0,Right Foot,
14,48,Federico Bernardeschi,Juventus,Blocked,25.0,Left Foot,
15,53,Alex Sandro,Juventus,Saved,9.0,Head,
16,53,Saša Lukić,Torino,Blocked,18.0,Left Foot,
17,55,Juan Cuadrado,Juventus,Saved,23.0,Left Foot,
18,71,Manuel Locatelli,Juventus,Off Target,23.0,Right Foot,
19,72,Karol Linetty,Torino,Blocked,16.0,Left Foot,
20,72,David Zima,Torino,Wayward,14.0,Right Foot,Half volley
21,86,Manuel Locatelli,Juventus,Goal,19.0,Right Foot,
22,90+1,Dejan Kulusevski,Juventus,Woodwork,17.0,Left Foot,
23,90+3,David Zima,Torino,Saved off Target,11.0,Head,
