,Minute,Player,Squad,Outcome,Distance,Body Part,Notes
0,4,Ruslan Malinovskyi,Atalanta,Blocked,12.0,Right Foot,Half volley
1,16,Remo Freuler,Atalanta,Off Target,21.0,Left Foot,
2,17,Paulo Dybala,Juventus,Saved,14.0,Left Foot,
3,18,Álvaro Morata,Juventus,Wayward,17.0,Right Foot,Volley
4,20,Federico Chiesa,Juventus,Blocked,17.0,Left Foot,
5,20,Joakim Mæhle,Atalanta,Blocked,25.0,Right Foot,
6,28,Duván Zapata,Atalanta,Goal,16.0,Right Foot,
7,34,Weston McKennie,Juventus,Wayward,12.0,Right Foot,Volley
8,34,Paulo Dybala,Juventus,Off Target,19.0,Left Foot,
9,36,Álvaro Morata,Juventus,Blocked,17.0,Left Foot,
10,43,Duván Zapata,Atalanta,Blocked,14.0,Right Foot,
12,54,Federico Bernardeschi,Juventus,Off Target,27.0,Left Foot,
13,57,Matthijs de Ligt,Juventus,Blocked,31.0,Right Foot,
14,60,Federico Bernardeschi,Juventus,Blocked,24.0,Left Foot,
15,60,Paulo Dybala,Juventus,Off Target,17.0,Left Foot,
16,65,Adrien Rabiot,Juventus,Saved,20.0,Left Foot,
17,66,Federico Bernardeschi,Juventus,Blocked,16.0,Right Foot,
18,71,Leonardo Bonucci,Juventus,Off Target,11.0,Head,
19,74,Ruslan Malinovskyi,Atalanta,Blocked,21.0,Left Foot,
20,74,Joakim Mæhle,Atalanta,Blocked,13.0,Left Foot,
21,81,Matthijs de Ligt,Juventus,Blocked,10.0,Right Foot,Half volley
22,90+5,Paulo Dybala,Juventus,Woodwork,22.0,Left Foot,Free kick
