,Minute,Player,Squad,Outcome,Distance,Body Part,Notes
0,18,Claudinho,Zenit,Saved,25.0,Right Foot,
1,26,Federico Chiesa,Juventus,Blocked,12.0,Left Foot,
2,29,Claudinho,Zenit,Blocked,19.0,Right Foot,Volley
3,36,Manuel Locatelli,Juventus,Wayward,25.0,Left Foot,Volley
4,36,Alex Sandro,Juventus,Wayward,15.0,Left Foot,Half volley
5,39,Federico Chiesa,Juventus,Off Target,28.0,Right Foot,
6,40,Federico Chiesa,Juventus,Off Target,21.0,Right Foot,
7,44,Dmitri Chistyakov,Zenit,Saved,9.0,Head,
9,51,Manuel Locatelli,Juventus,Blocked,25.0,Left Foot,Volley
10,51,Weston McKennie,Juventus,Saved,11.0,Left Foot,
11,53,Claudinho,Zenit,Blocked,10.0,Right Foot,
12,53,Wendel,Zenit,Blocked,14.0,Right Foot,Volley
13,57,Claudinho,Zenit,Off Target,17.0,Right Foot,
14,61,Yaroslav Rakitskiy,Zenit,Blocked,28.0,Left Foot,Free kick
15,65,Claudinho,Zenit,Blocked,14.0,Right Foot,Half volley
16,65,Yaroslav Rakitskiy,Zenit,Blocked,14.0,Left Foot,
17,71,Álvaro Morata,Juventus,Off Target,26.0,Right Foot,
18,74,Weston McKennie,Juventus,Off Target,10.0,Head,Diving header
19,75,Claudinho,Zenit,Off Target,22.0,Left Foot,
20,86,Dejan Kulusevski,Juventus,Goal,8.0,Head,
21,90,Federico Chiesa,Juventus,Off Target,10.0,Left Foot,
22,90+3,Aleksandr Erokhin,Zenit,Off Target,17.0,Head,
23,90+5,Douglas Santos,Zenit,Blocked,27.0,Left Foot,Free kick
