,Minute,Player,Squad,Outcome,Distance,Body Part,Notes
0,4,Milan Škriniar,Inter,Off Target,9.0,Head,
1,7,Álvaro Morata,Juventus,Saved,21.0,Right Foot,Half volley
2,7,Alex Sandro,Juventus,Saved,7.0,Right Foot,Volley
3,12,Danilo,Juventus,Off Target,35.0,Right Foot,
4,17,Hakan Çalhanoğlu,Inter,Woodwork,26.0,Right Foot,Deflected
5,17,Edin Džeko,Inter,Goal,9.0,Right Foot,Half volley
6,23,Juan Cuadrado,Juventus,Off Target,31.0,Right Foot,
7,24,Giorgio Chiellini,Juventus,Blocked,11.0,Head,
8,24,Alex Sandro,Juventus,Off Target,14.0,Left Foot,Half volley
9,25,Dejan Kulusevski,Juventus,Blocked,25.0,Left Foot,
10,29,Edin Džeko,Inter,Saved,16.0,Head,
11,36,Ivan Perišić,Inter,Blocked,21.0,Right Foot,
12,42,Leonardo Bonucci,Juventus,Off Target,7.0,Left Foot,Half volley
13,45+4,Edin Džeko,Inter,Blocked,11.0,Head,
15,58,Hakan Çalhanoğlu,Inter,Blocked,27.0,Right Foot,
16,60,Edin Džeko,Inter,Off Target,10.0,Head,
17,62,Leonardo Bonucci,Juventus,Blocked,11.0,Right Foot,Half volley
18,63,Ivan Perišić,Inter,Off Target,17.0,Right Foot,
19,64,Álvaro Morata,Juventus,Off Target,14.0,Head,
20,65,Matteo Darmian,Inter,Blocked,28.0,Right Foot,Half volley
21,68,Alex Sandro,Juventus,Off Target,27.0,Left Foot,
22,70,Paulo Dybala,Juventus,Blocked,23.0,Left Foot,
23,71,Paulo Dybala,Juventus,Saved,29.0,Left Foot,Free kick
24,73,Paulo Dybala,Juventus,Wayward,22.0,Left Foot,Half volley
25,82,Weston McKennie,Juventus,Blocked,24.0,Right Foot,
26,89,Paulo Dybala (pen),Juventus,Goal,12.0,Left Foot,
