,Minute,Player,Squad,Outcome,Distance,Body Part,Notes
0,7,Darko Lazović,Hellas Verona,Saved,8.0,Right Foot,
1,8,Álvaro Morata,Juventus,Saved,2.0,Right Foot,Back heel
2,9,Giovanni Simeone,Hellas Verona,Off Target,20.0,Right Foot,
3,10,Gianluca Caprari,Hellas Verona,Blocked,17.0,Right Foot,
4,10,Antonín Barák,Hellas Verona,Saved,13.0,Right Foot,
5,11,Giovanni Simeone,Hellas Verona,Goal,6.0,Right Foot,"Open goal, Half volley"
6,14,Giovanni Simeone,Hellas Verona,Goal,24.0,Right Foot,
7,16,Paulo Dybala,Juventus,Off Target,20.0,Right Foot,
8,25,Davide Faraoni,Hellas Verona,Off Target,23.0,Right Foot,Volley
9,35,Paulo Dybala,Juventus,Off Target,13.0,Left Foot,Half volley
10,36,Paulo Dybala,Juventus,Off Target,16.0,Head,
11,40,Alex Sandro,Juventus,Off Target,14.0,Left Foot,
12,43,Paulo Dybala,Juventus,Off Target,52.0,Left Foot,Half volley
13,44,Paulo Dybala,Juventus,Woodwork,18.0,Left Foot,
15,48,Paulo Dybala,Juventus,Off Target,22.0,Left Foot,
16,51,Giovanni Simeone,Hellas Verona,Saved,24.0,Right Foot,
17,53,Paulo Dybala,Juventus,Off Target,23.0,Left Foot,
18,54,Juan Cuadrado,Juventus,Off Target,29.0,Right Foot,
19,58,Weston McKennie,Juventus,Saved,5.0,Right Foot,Volley
20,64,Gianluca Caprari,Hellas Verona,Blocked,21.0,Right Foot,
21,80,Weston McKennie,Juventus,Goal,15.0,Right Foot,
22,82,Álvaro Morata,Juventus,Off Target,12.0,Left Foot,
23,83,Nikola Kalinić,Hellas Verona,Off Target,16.0,Left Foot,
24,89,Federico Bernardeschi,Juventus,Blocked,11.0,Left Foot,Half volley
25,90,Paulo Dybala,Juventus,Saved,25.0,Left Foot,
26,90+1,Gianluca Caprari,Hellas Verona,Blocked,17.0,Right Foot,
27,90+1,Antonín Barák,Hellas Verona,Off Target,17.0,Left Foot,Half volley
