,Minute,Player,Squad,Outcome,Distance,Body Part,Notes
0,1,Federico Bernardeschi,Juventus,Saved,16.0,Left Foot,Half volley
1,5,Tammy Abraham,Roma,Blocked,22.0,Right Foot,
2,6,Gianluca Mancini,Roma,Saved,7.0,Head,
3,6,Roger Ibanez,Roma,Off Target,6.0,Right Foot,Overhead kick
4,8,Lorenzo Pellegrini,Roma,Blocked,21.0,Left Foot,
5,11,Nicolò Zaniolo,Roma,Blocked,29.0,Left Foot,
6,16,Rodrigo Bentancur,Juventus,Wayward,6.0,Head,
7,16,Moise Kean,Juventus,Goal,6.0,Head,
8,31,Stephan El Shaarawy,Roma,Saved,28.0,Right Foot,
9,37,Tammy Abraham,Roma,Saved,11.0,Head,
10,44,Jordan Veretout (pen),Roma,Saved,12.0,Right Foot,
11,44,Gianluca Mancini,Roma,Off Target,7.0,Right Foot,
13,48,Federico Bernardeschi,Juventus,Saved,11.0,Left Foot,Overhead kick
14,48,Moise Kean,Juventus,Off Target,5.0,Right Foot,Half volley
15,50,Lorenzo Pellegrini,Roma,Blocked,23.0,Left Foot,Volley
16,51,Mattia De Sciglio,Juventus,Off Target,18.0,Right Foot,Half volley
17,53,Henrikh Mkhitaryan,Roma,Wayward,11.0,Left Foot,Volley
18,63,Federico Bernardeschi,Juventus,Off Target,30.0,Left Foot,
19,66,Jordan Veretout,Roma,Off Target,27.0,Right Foot,
20,73,Matías Viña,Roma,Blocked,13.0,Left Foot,
21,83,Bryan Cristante,Roma,Blocked,24.0,Right Foot,
22,90+1,Bryan Cristante,Roma,Wayward,14.0,Head,
