,Minute,Player,Squad,Outcome,Distance,Body Part,Notes
0,4,Paulo Dybala,Juventus,Saved,21.0,Left Foot,
1,7,Dejan Kulusevski,Juventus,Off Target,17.0,Left Foot,
2,10,Paulo Dybala,Juventus,Saved,21.0,Left Foot,
3,15,Simeon Nwankwo,Salernitana,Off Target,9.0,Head,
4,21,Paulo Dybala,Juventus,Goal,21.0,Left Foot,
5,28,Juan Cuadrado,Juventus,Saved to Post,28.0,Right Foot,Free kick
6,43,Rodrigo Bentancur,Juventus,Off Target,19.0,Right Foot,
8,47,Paulo Dybala,Juventus,Blocked,19.0,Left Foot,
9,53,Dejan Kulusevski,Juventus,Blocked,16.0,Left Foot,
10,54,Paulo Dybala,Juventus,Off Target,23.0,Left Foot,
11,57,Paulo Dybala,Juventus,Wayward,19.0,Left Foot,
12,57,Federico Bernardeschi,Juventus,Blocked,19.0,Left Foot,
13,57,Juan Cuadrado,Juventus,Off Target,22.0,Left Foot,
14,58,Luca Ranieri,Salernitana,Woodwork,10.0,Right Foot,Half volley
15,59,Riccardo Gagliolo,Salernitana,Blocked,24.0,Right Foot,
16,70,Álvaro Morata,Juventus,Goal,4.0,Right Foot,Volley
17,74,Norbert Gyömbér,Salernitana,Off Target,9.0,Head,
18,80,Álvaro Morata,Juventus,Off Target,9.0,Head,
19,82,Paulo Dybala,Juventus,Off Target,23.0,Left Foot,
20,86,Paulo Dybala,Juventus,Saved,15.0,Left Foot,
21,90+1,Dejan Kulusevski,Juventus,Saved,13.0,Left Foot,
22,90+5,Paulo Dybala (pen),Juventus,Off Target,12.0,Left Foot,
