,Minute,Player,Squad,Outcome,Distance,Body Part,Notes
0,3,Sandro Tonali,Milan,Blocked,23.0,Left Foot,
1,4,Álvaro Morata,Juventus,Goal,17.0,Right Foot,Lob
2,6,Brahim Díaz,Milan,Off Target,28.0,Right Foot,
3,16,Álvaro Morata,Juventus,Saved,10.0,Right Foot,Half volley
4,18,Paulo Dybala,Juventus,Saved,26.0,Right Foot,
5,24,Sandro Tonali,Milan,Blocked,35.0,Right Foot,Free kick
6,24,Sandro Tonali,Milan,Saved,29.0,Right Foot,
7,27,Leonardo Bonucci,Juventus,Off Target,7.0,Head,
8,43,Ante Rebić,Milan,Blocked,13.0,Right Foot,
9,43,Sandro Tonali,Milan,Off Target,23.0,Right Foot,
11,46,Álvaro Morata,Juventus,Wayward,9.0,Right Foot,Back heel
12,50,Adrien Rabiot,Juventus,Off Target,15.0,Left Foot,Volley
13,51,Fikayo Tomori,Milan,Off Target,32.0,Left Foot,
14,59,Theo Hernández,Milan,Off Target,34.0,Left Foot,
15,69,Rafael Leão,Milan,Off Target,27.0,Right Foot,
16,74,Danilo,Juventus,Saved,18.0,Right Foot,
17,76,Ante Rebić,Milan,Goal,6.0,Head,
18,83,Ante Rebić,Milan,Off Target,14.0,Left Foot,
19,86,Moise Kean,Juventus,Off Target,7.0,Right Foot,Volley
20,86,Pierre Kalulu,Milan,Saved,11.0,Right Foot,
21,88,Adrien Rabiot,Juventus,Off Target,23.0,Left Foot,
22,90+2,Alessandro Florenzi,Milan,Blocked,18.0,Right Foot,
