,Minute,Player,Squad,Outcome,Distance,Body Part,Notes
0,1,Veljko Birmančević,Malmö,Blocked,23.0,Right Foot,
1,3,Alex Sandro,Juventus,Off Target,13.0,Head,
2,10,Paulo Dybala,Juventus,Off Target,17.0,Left Foot,Half volley
3,17,Søren Rieks,Malmö,Off Target,12.0,Right Foot,Volley
4,23,Alex Sandro,Juventus,Goal,8.0,Head,
5,27,Adrien Rabiot,Juventus,Off Target,24.0,Left Foot,
6,28,Alex Sandro,Juventus,Off Target,13.0,Left Foot,Half volley
7,30,Veljko Birmančević,Malmö,Off Target,39.0,Right Foot,Free kick
8,32,Álvaro Morata,Juventus,Saved,19.0,Left Foot,Lob
9,38,Manuel Locatelli,Juventus,Off Target,17.0,Right Foot,Half volley
10,45,Paulo Dybala (pen),Juventus,Goal,12.0,Left Foot,
11,45+1,Álvaro Morata,Juventus,Goal,14.0,Right Foot,Lob
13,48,Anders Christiansen,Malmö,Off Target,20.0,Right Foot,Half volley
14,52,Álvaro Morata,Juventus,Off Target,14.0,Left Foot,
15,57,Álvaro Morata,Juventus,Saved,11.0,Head,
16,62,Álvaro Morata,Juventus,Saved,17.0,Right Foot,
17,70,Paulo Dybala,Juventus,Saved,19.0,Left Foot,
18,72,Anders Christiansen,Malmö,Blocked,19.0,Left Foot,
19,72,Lasse Nielsen,Malmö,Off Target,8.0,Head,
20,84,Antonio Čolak,Malmö,Off Target,11.0,Head,
21,87,Manuel Locatelli,Juventus,Wayward,23.0,Left Foot,Half volley
22,89,Moise Kean,Juventus,Off Target,16.0,Right Foot,Lob
23,90,Moise Kean,Juventus,Saved,11.0,Left Foot,
24,90+1,Malik Abubakari,Malmö,Off Target,15.0,Head,Diving header
25,90+2,Martin Olsson,Malmö,Saved,17.0,Left Foot,
