,Minute,Player,Squad,Outcome,Distance,Body Part,Notes
0,3,Mateo Kovačić,Chelsea,Saved off Target,24.0,Right Foot,Half volley
1,7,Romelu Lukaku,Chelsea,Saved,14.0,Left Foot,Deflected
2,20,Federico Chiesa,Juventus,Off Target,15.0,Right Foot,
3,31,Adrien Rabiot,Juventus,Off Target,25.0,Right Foot,
4,41,Federico Bernardeschi,Juventus,Blocked,23.0,Left Foot,Free kick
5,45,Thiago Silva,Chelsea,Blocked,14.0,Head,
6,45,Thiago Silva,Chelsea,Blocked,16.0,Right Foot,Half volley
8,46,Federico Chiesa,Juventus,Goal,9.0,Left Foot,
9,51,Ben Chilwell,Chelsea,Off Target,20.0,Left Foot,Volley
10,64,Federico Bernardeschi,Juventus,Off Target,8.0,Left Foot,Half volley
11,64,Ben Chilwell,Chelsea,Blocked,12.0,Left Foot,Volley
12,67,Trevoh Chalobah,Chelsea,Wayward,32.0,Right Foot,
13,70,Kai Havertz,Chelsea,Blocked,20.0,Left Foot,
14,71,Antonio Rüdiger,Chelsea,Blocked,28.0,Right Foot,
15,75,Romelu Lukaku,Chelsea,Off Target,9.0,Head,
16,80,Moise Kean,Juventus,Blocked,11.0,Left Foot,
17,82,Mateo Kovačić,Chelsea,Blocked,21.0,Right Foot,
18,83,Romelu Lukaku,Chelsea,Off Target,12.0,Left Foot,
19,87,Thiago Silva,Chelsea,Blocked,9.0,Head,
20,88,Kai Havertz,Chelsea,Off Target,9.0,Head,
21,90+5,Kai Havertz,Chelsea,Off Target,7.0,Head,
