,Minute,Player,Squad,Outcome,Distance,Body Part,Notes
0,7.0,Rodrigo Bentancur,Juventus,Blocked,30.0,Right Foot,Half volley
1,7.0,Federico Bernardeschi,Juventus,Off Target,24.0,Left Foot,Half volley
2,9.0,Juan Cuadrado,Juventus,Goal,35.0,Right Foot,
3,11.0,Paulo Dybala,Juventus,Off Target,25.0,Left Foot,Half volley
4,15.0,Federico Bernardeschi,Juventus,Saved,9.0,Right Foot,
5,18.0,Manuel Locatelli,Juventus,Off Target,24.0,Right Foot,
6,26.0,Paulo Dybala,Juventus,Blocked,20.0,Right Foot,
7,26.0,Paulo Dybala,Juventus,Off Target,15.0,Right Foot,Half volley
8,27.0,Federico Bernardeschi,Juventus,Off Target,21.0,Left Foot,Half volley
9,32.0,Matthijs de Ligt,Juventus,Saved,9.0,Head,
10,34.0,Federico Bernardeschi,Juventus,Blocked,13.0,Left Foot,
11,37.0,Matthijs de Ligt,Juventus,Saved,6.0,Head,
12,37.0,Álvaro Morata,Juventus,Saved,3.0,Right Foot,Volley
13,45.0,Álvaro Morata,Juventus,Saved,10.0,Right Foot,Half volley
15,50.0,Federico Bernardeschi,Juventus,Blocked,21.0,Left Foot,
16,50.0,Paulo Dybala,Juventus,Off Target,24.0,Left Foot,
17,53.0,Álvaro Morata,Juventus,Saved,11.0,Right Foot,
18,56.0,Matthijs de Ligt,Juventus,Saved,33.0,Right Foot,
19,57.0,Dejan Kulusevski,Juventus,Off Target,14.0,Left Foot,
20,62.0,Federico Bernardeschi,Juventus,Blocked,23.0,Left Foot,
21,63.0,Paulo Dybala,Juventus,Saved,23.0,Left Foot,Half volley
22,64.0,Juan Cuadrado,Juventus,Blocked,11.0,Right Foot,Half volley
23,64.0,Manuel Locatelli,Juventus,Blocked,22.0,Left Foot,
24,65.0,Paulo Dybala,Juventus,Saved,12.0,Left Foot,
25,66.0,Juan Cuadrado,Juventus,Saved,11.0,Right Foot,Volley
26,71.0,Alex Sandro,Juventus,Blocked,16.0,Left Foot,Volley
27,82.0,Paulo Dybala,Juventus,Goal,16.0,Left Foot,
