,Minute,Player,Squad,Outcome,Distance,Body Part,Notes
0,6,Giacomo Bonaventura,Fiorentina,Saved,9.0,Head,
1,10,Paulo Dybala,Juventus,Off Target,13.0,Left Foot,
2,14,Paulo Dybala,Juventus,Blocked,17.0,Left Foot,
3,14,Matthijs de Ligt,Juventus,Off Target,7.0,Head,
4,33,Riccardo Saponara,Fiorentina,Off Target,11.0,Right Foot,Half volley
5,36,José Callejón,Fiorentina,Off Target,22.0,Right Foot,Half volley
6,38,Dušan Vlahović,Fiorentina,Off Target,6.0,Head,
7,40,Dušan Vlahović,Fiorentina,Off Target,8.0,Head,
8,43,Matthijs de Ligt,Juventus,Off Target,13.0,Head,
9,45+3,Riccardo Saponara,Fiorentina,Wayward,10.0,Head,
11,49,Paulo Dybala,Juventus,Off Target,26.0,Left Foot,Volley
12,50,Álvaro Morata,Juventus,Off Target,20.0,Left Foot,Volley
13,55,Adrien Rabiot,Juventus,Blocked,24.0,Left Foot,
14,56,Daniele Rugani,Juventus,Off Target,12.0,Left Foot,Half volley
15,76,Federico Chiesa,Juventus,Woodwork,14.0,Right Foot,Half volley
16,80,Federico Chiesa,Juventus,Off Target,20.0,Right Foot,Half volley
17,86,Federico Chiesa,Juventus,Saved,13.0,Right Foot,Volley
18,90+1,Juan Cuadrado,Juventus,Goal,9.0,Right Foot,
19,90+6,Federico Chiesa,Juventus,Saved,11.0,Left Foot,
