,Minute,Player,Squad,Outcome,Distance,Body Part,Notes
0,6.0,Felipe Anderson,Lazio,Blocked,23.0,Right Foot,
1,8.0,Manuel Lazzari,Lazio,Blocked,31.0,Right Foot,
2,23.0,Leonardo Bonucci (pen),Juventus,Goal,12.0,Right Foot,
3,34.0,Sergej Milinković-Savić,Lazio,Blocked,27.0,Right Foot,Free kick
4,35.0,Luiz Felipe,Lazio,Blocked,16.0,Right Foot,Half volley
5,36.0,Sergej Milinković-Savić,Lazio,Saved,27.0,Right Foot,
6,41.0,Álvaro Morata,Juventus,Off Target,7.0,Right Foot,Volley
7,44.0,Dejan Kulusevski,Juventus,Blocked,16.0,Left Foot,Half volley
9,48.0,Dejan Kulusevski,Juventus,Saved,11.0,Right Foot,
10,48.0,Leonardo Bonucci,Juventus,Wayward,3.0,Left Foot,
11,50.0,Felipe Anderson,Lazio,Wayward,15.0,Head,
12,52.0,Pedro,Lazio,Blocked,25.0,Right Foot,
13,59.0,Luis Alberto,Lazio,Blocked,22.0,Right Foot,
14,75.0,Moise Kean,Juventus,Blocked,16.0,Left Foot,
15,76.0,Moise Kean,Juventus,Off Target,7.0,Head,
16,83.0,Leonardo Bonucci (pen),Juventus,Goal,12.0,Right Foot,
17,86.0,Moise Kean,Juventus,Saved,18.0,Right Foot,
18,88.0,Adrien Rabiot,Juventus,Blocked,23.0,Left Foot,
19,89.0,Moise Kean,Juventus,Saved,15.0,Right Foot,
