,Minute,Player,Squad,Outcome,Distance,Body Part,Notes
0,2,Daniele Rugani,Juventus,Saved,9.0,Head,
1,6,Federico Bernardeschi,Juventus,Saved,18.0,Left Foot,Volley
2,6,Moise Kean,Juventus,Off Target,15.0,Right Foot,
3,18,Moise Kean,Juventus,Goal,4.0,Head,
4,35,Bonke Innocent,Malmö,Wayward,26.0,Right Foot,
5,41,Lasse Nielsen,Malmö,Blocked,21.0,Right Foot,
6,45+2,Arthur Melo,Juventus,Off Target,17.0,Right Foot,
8,52,Adrien Rabiot,Juventus,Blocked,25.0,Right Foot,
9,57,Rodrigo Bentancur,Juventus,Off Target,27.0,Right Foot,
10,58,Adrien Rabiot,Juventus,Off Target,18.0,Left Foot,
11,61,Antonio Čolak,Malmö,Blocked,17.0,Right Foot,
12,63,Antonio Čolak,Malmö,Saved,32.0,Right Foot,
13,65,Sergio Peña,Malmö,Saved,33.0,Right Foot,Half volley
14,66,Moise Kean,Juventus,Saved,14.0,Right Foot,
15,71,Federico Bernardeschi,Juventus,Saved,27.0,Left Foot,
16,71,Moise Kean,Juventus,Off Target,4.0,Right Foot,
17,82,Adrien Rabiot,Juventus,Saved,22.0,Left Foot,
18,82,Moise Kean,Juventus,Saved,8.0,Right Foot,
19,83,Alex Sandro,Juventus,Wayward,18.0,Left Foot,Half volley
20,86,Juan Cuadrado,Juventus,Off Target,11.0,Right Foot,
21,90+1,Álvaro Morata,Juventus,Blocked,14.0,Head,
22,90+3,Sergio Peña,Malmö,Off Target,31.0,Right Foot,
