,Minute,Player,Squad,Outcome,Distance,Body Part,Notes
0,6,Álvaro Morata,Juventus,Goal,9.0,Right Foot,
1,14,Adrien Rabiot,Juventus,Saved,18.0,Left Foot,
2,16,Álvaro Morata,Juventus,Saved,18.0,Right Foot,
3,17,Marko Arnautović,Bologna,Saved,11.0,Head,
4,22,Nicolás Domínguez,Bologna,Blocked,21.0,Left Foot,
5,22,Mattias Svanberg,Bologna,Off Target,11.0,Right Foot,Overhead kick
6,28,Musa Barrow,Bologna,Off Target,17.0,Left Foot,
7,32,Arthur Theate,Bologna,Off Target,34.0,Left Foot,
8,40,Musa Barrow,Bologna,Blocked,33.0,Right Foot,
9,42,Luca Pellegrini,Juventus,Off Target,33.0,Left Foot,
10,45,Mattias Svanberg,Bologna,Saved,22.0,Right Foot,
12,55,Mattias Svanberg,Bologna,Blocked,17.0,Right Foot,
13,60,Musa Barrow,Bologna,Blocked,8.0,Head,
14,62,Álvaro Morata,Juventus,Blocked,13.0,Right Foot,
15,66,Nicolás Domínguez,Bologna,Saved,11.0,Right Foot,
16,69,Juan Cuadrado,Juventus,Goal,20.0,Right Foot,
17,77,Federico Bernardeschi,Juventus,Saved,17.0,Left Foot,
18,77,Adrien Rabiot,Juventus,Saved,8.0,Head,
19,82,Emanuel Vignato,Bologna,Blocked,26.0,Right Foot,
20,89,Juan Cuadrado,Juventus,Blocked,15.0,Right Foot,
21,90,Juan Cuadrado,Juventus,Off Target,26.0,Right Foot,
22,90+3,Dejan Kulusevski,Juventus,Saved,23.0,Left Foot,
