,Minute,Player,Squad,Outcome,Distance,Body Part,Notes
0,3,Federico Chiesa,Juventus,Blocked,13.0,Right Foot,
1,8,Danilo,Juventus,Off Target,24.0,Right Foot,Volley
2,18,Domenico Berardi,Sassuolo,Saved,22.0,Left Foot,
3,21,Adrien Rabiot,Juventus,Blocked,14.0,Right Foot,
4,21,Manuel Locatelli,Juventus,Wayward,19.0,Right Foot,Half volley
5,34,Hamed Junior Traorè,Sassuolo,Off Target,30.0,Right Foot,
6,35,Giacomo Raspadori,Sassuolo,Blocked,11.0,Left Foot,
7,37,Paulo Dybala,Juventus,Woodwork,22.0,Left Foot,
8,41,Federico Chiesa,Juventus,Off Target,8.0,Right Foot,Half volley
9,44,Davide Frattesi,Sassuolo,Goal,12.0,Right Foot,
11,55,Alex Sandro,Juventus,Off Target,10.0,Head,
12,57,Giacomo Raspadori,Sassuolo,Off Target,18.0,Right Foot,
13,58,Juan Cuadrado,Juventus,Blocked,14.0,Right Foot,Half volley
14,59,Paulo Dybala,Juventus,Saved,15.0,Left Foot,
15,59,Federico Chiesa,Juventus,Off Target,9.0,Head,
16,70,Gianluca Scamacca,Sassuolo,Saved,21.0,Right Foot,
17,71,Kaio Jorge,Juventus,Off Target,6.0,Right Foot,"Open goal, Overhead kick"
18,73,Manuel Locatelli,Juventus,Blocked,25.0,Right Foot,
19,76,Weston McKennie,Juventus,Goal,10.0,Head,
20,84,Federico Chiesa,Juventus,Blocked,15.0,Right Foot,Volley
21,90+2,Matheus Henrique,Sassuolo,Blocked,21.0,Right Foot,Volley
22,90+5,Maxime Lopez,Sassuolo,Goal,14.0,Right Foot,Lob
