,Minute,Player,Squad,Outcome,Distance,Body Part,Notes
0,1.0,Albin Ekdal,Sampdoria,Off Target,8.0,Head,
1,6.0,Paulo Dybala,Juventus,Blocked,23.0,Left Foot,
2,10.0,Manuel Locatelli,Juventus,Blocked,20.0,Left Foot,Half volley
3,10.0,Paulo Dybala,Juventus,Goal,22.0,Left Foot,Half volley
4,12.0,Federico Chiesa,Juventus,Off Target,13.0,Right Foot,
5,14.0,Álvaro Morata,Juventus,Saved,12.0,Right Foot,
6,16.0,Álvaro Morata,Juventus,Saved,14.0,Left Foot,
7,19.0,Francesco Caputo,Sampdoria,Off Target,26.0,Right Foot,
8,25.0,Dejan Kulusevski,Juventus,Off Target,24.0,Left Foot,
9,29.0,Dejan Kulusevski,Juventus,Off Target,10.0,Head,
10,41.0,Federico Chiesa,Juventus,Blocked,21.0,Right Foot,
11,43.0,Leonardo Bonucci (pen),Juventus,Goal,12.0,Right Foot,
12,44.0,Fabio Quagliarella,Sampdoria,Saved,25.0,Right Foot,
13,44.0,Maya Yoshida,Sampdoria,Goal,5.0,Head,
15,53.0,Francesco Caputo,Sampdoria,Wayward,13.0,Head,
16,55.0,Manuel Locatelli,Juventus,Off Target,24.0,Left Foot,
17,57.0,Manuel Locatelli,Juventus,Goal,9.0,Right Foot,
18,74.0,Rodrigo Bentancur,Juventus,Saved,18.0,Right Foot,
19,81.0,Álvaro Morata,Juventus,Off Target,18.0,Left Foot,Half volley
20,83.0,Antonio Candreva,Sampdoria,Goal,13.0,Left Foot,
21,90.0,Manuel Locatelli,Juventus,Blocked,29.0,Right Foot,
22,90.0,Weston McKennie,Juventus,Off Target,9.0,Head,
